Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.06; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 2
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.19; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 1
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.25; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 3
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.27; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 4
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.37; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 5
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.43; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 4
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.57; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 5
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.27; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 4
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.4; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 5
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.05; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 1
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.06; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 2
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.19; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 1
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.25; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 3
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.27; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 4
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.37; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 5
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.43; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 4
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.57; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 5
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.27; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 4
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.4; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 5
Src. prop.: http://www.okkam.org/ontology_person1.owl#date_of_birth; Tgt. prop.: http://www.okkam.org/ontology_person2.owl#soc_sec_id; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.05; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 1
