Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 1.0; Second score: 0.9636850152905199; Combined: 0.9707354639969195; Selected
		 Property: authors; First score: 1.0; Second score: 0.8853211009174312; Combined: 0.9061032863849766; Selected
		 Property: venue; First score: 1.0; Second score: 0.00191131498470948; Combined: 0.0023880026745629955
Tgt (score): 
		 Property: title; First score: 1.0; Second score: 0.972101133391456; Combined: 0.9775556724530948; Selected
		 Property: authors; First score: 0.993897122929381; Second score: 0.8807017543859649; Combined: 0.9012300495685975; Selected
		 Property: venue; First score: 1.0; Second score: 0.002179598953792502; Combined: 0.002723014922121773
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.26; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.13; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.38; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.39; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.4; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 5
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.17; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.13; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.26; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.27; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.52; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.26; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.27; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.12; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.43; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.66; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.33; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.66; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.66; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.82; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.83; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 3
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.45; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.43; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.52; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.01328686560662165; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.43; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.45; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.53; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.82; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.83; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 3
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.45; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.45; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.53; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.33; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.01328686560662165; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.45; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.44; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.45; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.46; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.57; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
